Epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
1,0.4227188229560852,0.7171152234077454,0.6000000238418579,0.6740010380744934
2,0.5959031581878662,0.6672918796539307,0.6608695387840271,0.6410385966300964
3,0.6573556661605835,0.6468619704246521,0.643478274345398,0.6268642544746399
4,0.659217894077301,0.637557327747345,0.634782612323761,0.6263750195503235
5,0.659217894077301,0.6339609622955322,0.634782612323761,0.626132607460022
6,0.659217894077301,0.6302410960197449,0.643478274345398,0.6231420040130615
7,0.659217894077301,0.6280703544616699,0.634782612323761,0.6279605627059937
8,0.659217894077301,0.6258633732795715,0.643478274345398,0.6281468272209167
9,0.6573556661605835,0.622686505317688,0.634782612323761,0.6277687549591064
10,0.6554934978485107,0.620568037033081,0.634782612323761,0.6299110651016235
11,0.6629422903060913,0.6193095445632935,0.626086950302124,0.6329147219657898
12,0.6573556661605835,0.6172377467155457,0.626086950302124,0.6288111209869385
13,0.6554934978485107,0.6149804592132568,0.626086950302124,0.6327635645866394
14,0.6573556661605835,0.6136121153831482,0.626086950302124,0.6345020532608032
15,0.6610800623893738,0.6119163036346436,0.626086950302124,0.6356359124183655
16,0.6703910827636719,0.610690176486969,0.634782612323761,0.636101484298706
17,0.6703910827636719,0.6082729697227478,0.634782612323761,0.6366845965385437
18,0.6666666865348816,0.6072609424591064,0.634782612323761,0.6365472078323364
19,0.6722532510757446,0.605670154094696,0.6173912882804871,0.6398650407791138
20,0.6797020435333252,0.604865312576294,0.6173912882804871,0.6398640275001526
21,0.6797020435333252,0.6026856303215027,0.634782612323761,0.6398566961288452
22,0.685288667678833,0.6016426086425781,0.626086950302124,0.6419180631637573
23,0.6834264397621155,0.5997895002365112,0.626086950302124,0.6426841616630554
24,0.6890130639076233,0.5985632538795471,0.626086950302124,0.6414041519165039
25,0.6890130639076233,0.5977610349655151,0.626086950302124,0.645550012588501
26,0.690875232219696,0.5966447591781616,0.634782612323761,0.6450026631355286
27,0.690875232219696,0.5957140326499939,0.634782612323761,0.642686128616333
28,0.6871508359909058,0.5944039225578308,0.626086950302124,0.6469236016273499
29,0.6890130639076233,0.5930289030075073,0.626086950302124,0.6455920934677124
30,0.6871508359909058,0.5917120575904846,0.626086950302124,0.6462540626525879
31,0.6871508359909058,0.5907407999038696,0.626086950302124,0.6488137245178223
32,0.6871508359909058,0.5898557901382446,0.6173912882804871,0.648466169834137
33,0.6871508359909058,0.5890809893608093,0.634782612323761,0.646705150604248
34,0.6871508359909058,0.5881630778312683,0.626086950302124,0.648552417755127
35,0.690875232219696,0.587024450302124,0.626086950302124,0.6489614844322205
36,0.6890130639076233,0.5861866474151611,0.626086950302124,0.6507413387298584
37,0.6890130639076233,0.5852589011192322,0.634782612323761,0.6490213871002197
38,0.6927374005317688,0.5857081413269043,0.6173912882804871,0.6489600539207458
39,0.6890130639076233,0.5839025974273682,0.634782612323761,0.6493120193481445
40,0.6927374005317688,0.5830349922180176,0.626086950302124,0.6496480107307434
41,0.6945996284484863,0.5824935436248779,0.626086950302124,0.650661051273346
42,0.690875232219696,0.5822593569755554,0.6173912882804871,0.6526095867156982
43,0.6927374005317688,0.5823726058006287,0.626086950302124,0.6497933268547058
44,0.6927374005317688,0.5805865526199341,0.6173912882804871,0.6523424983024597
45,0.6927374005317688,0.5799826979637146,0.6173912882804871,0.6523848176002502
46,0.690875232219696,0.5795214176177979,0.6173912882804871,0.651540219783783
47,0.6945996284484863,0.579252302646637,0.6173912882804871,0.6513806581497192
48,0.6927374005317688,0.5791200399398804,0.6173912882804871,0.654920756816864
49,0.6927374005317688,0.5785402655601501,0.6173912882804871,0.6523391008377075
50,0.6890130639076233,0.5781368017196655,0.6173912882804871,0.6532445549964905
